### this data was extracted from peeringdb 
#clli	city	state	country
SMTWNY	Nesconset	NY	US
SNFCCA	San Francisco	CA	US
SNFCCA	San Francisco	CA	US
SNFCCA	San Francisco	CA	US
SNFCCA	San Francisco	CA	US
SNFCCA	San Francisco	CA	US
SNFCCA	San Francisco	CA	US
SNJSCA	San Jose	CA	US
SNJSCA	San Jose	CA	US
SNJSCA	San Jose	CA	US
SNJSCA	San Jose	CA	US
SNJSCA	San Jose	CA	US
SNTCCA	Santa Clara	CA	US
SNTCCA	Santa Clara	CA	US
SNTCCA	Santa Clara	CA	US
SNVACA	Sunnyvale	CA	US
SNVACA	Sunnyvale	CA	US
SNVBCA	Sunnyvale	Ca	US
STLSMO	St. Louis	MO	US
STTLWA	Seattle	WA	US
STTLWA	Seattle	WA	US
STTLWA	Seattle	WA	US
STTLWA	Seattle	WA	US
STTLWA	Seattle	WA	US
SYDNAU	Mascot (Sydney) NSW	NULL	AU
SYDNAU	Alexandria NSW	NULL	AU
SYRCNY	Syracuse	NY	US
TAMQFL	Tampa	FL	US
TOROON	Toronto	NULL	CA
TOROON	Toronto	ON	CA
TOROON	Toronto	ON	CA
VANCBC	Vancouver	BC	CA
VINNVA	Vienna	VA	US
VINNVA	Vienna	VA	US
WHWKNJ	Weehawken	NJ	US
WKFDMA	Wakefield	MA	US
WNPJMB	Winnipeg	MB	CA
WOTNOH	Worthington	OH	US
WTTWNY	Watertown	NY	US
